collection_no,record_type,formation,lng,lat,collection_name,collection_subset,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,reference_no,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate
21689,col,,-71.366699,-11.9,Cocha Cashu Biological Station,,"ETE Locality 507, Cocha Cashu Biological Station, ",66,Holocene,,0.0117,0,4790,PE,,Cuzco,,4,,"Site is in lowland sector of Manu Nat. Park,SE Peru. Cocha Cashu Biol. Sta. is 10 sq. km. w/in the 1,532,000 ha Manu Park. Park's bound. runs along the crest of the E Andes thru alpine grasslands. To N, mts. fall away to jagged foothills & deep gorges.",gp_mid,-71.37,-11.9,201
21690,col,,35,-2.4167,Serengeti National Park,,"ETE Locality 508, Serengeti National Park, ",49,Holocene,,0.0117,0,4792,TZ,,,,4,,"14625,000 sq.km.; natural boundaries in N Loita plains, E boundary formed by forested Loita hills and Gol mountains. Average 1780 m above sea level.",gp_mid,35,-2.42,712
21691,col,,-79.849998,9.15,Barro Colorado Island,,"ETE Locality 509, Barro Colorado Island, ",52,Holocene,,0.0117,0,4796,PA,,,,4,,"1841,500 ha area formed in 1910 after the Chagnes River was dammed to create Gatun Lake and complete the Panama Canal. Managed by STRI since 1977, near Panama's Parque Nacional Soberania.",gp_mid,-79.85,9.15,230
21692,col,,-5.0333,6.2167,Lamto station,,"ETE Locality 510, Lamto station, ",44,Holocene,,0.0117,0,4801,CI,,,,4,,"Located at one end of a section of savanna thrushing S into dense, semi-deciduous forests.",gp_mid,-5.03,6.22,714
21693,col,,28.6667,-24.6,Nylsrley Provincial Nature Res,,"ETE Locality 511, Nylsrley Provincial Nature Res, ",67,Holocene,,0.0117,0,4805,ZA,N. Transraal,Naboomspruit,,4,,"Nyl river runs across the reserve from SW to NE in the flat bottomland. SE elevations are underlain by sandstone, grits, and conglomerate bands of the Waterberg System.",gp_mid,28.67,-24.6,701
21698,col,,22.1833,-33.366699,Boomplaas B&C,,"ETE Locality 516, Boomplaas B&C, ",0,Holocene,,0.0117,0,4808,ZA,,,,4,,,gp_mid,22.18,-33.37,701
21699,col,,19.47208,-34.577888,Byneskranskop 2,,"ETE Locality 517, Byneskranskop 2",0,Holocene,,0.0117,0,4808,ZA,,,stated in text,6,,,gp_mid,19.47,-34.58,701
21700,col,,22.633301,-33.983299,Glentyre Shelter,,"ETE Locality 518, Glentyre Shelter, ",0,Holocene,,0.0117,0,4808,ZA,,,,4,,,gp_mid,22.63,-33.98,701
21701,col,,22.1667,-33.366699,Nooitgedacht A-C,,"ETE Locality 519, Nooitgedacht A-C, ",0,Holocene,,0.0117,0,4808,ZA,,,,4,,,gp_mid,22.17,-33.37,701
21702,col,,22.1833,-33.366699,Osgat,,"ETE Locality 520, Osgat, ",0,Holocene,,0.0117,0,4808,ZA,,,,4,,,gp_mid,22.18,-33.37,701
21703,col,,19.4667,-34.4333,Stanford,,"ETE Locality 521, Stanford, ",0,Holocene,,0.0117,0,4808,ZA,,,,4,,,gp_mid,19.47,-34.43,701
21704,col,,18.4167,-34.116699,Fish Hoek,,"ETE Locality 522, Fish Hoek, ",0,Holocene,,0.0117,0,4809,ZA,,,,4,,,gp_mid,18.42,-34.12,701
21705,col,,18.200001,-33.383301,Tygerfontein,,"ETE Locality 523, Tygerfontein, ",0,Holocene,,0.0117,0,4809,ZA,,,,4,,,gp_mid,18.2,-33.38,701
21706,col,,17.950001,-33,Sea Harvest-Saldanha,,"ETE Locality 524, Sea Harvest, Saldanha, ",2,Holocene,,0.0117,0,4809,ZA,,,,4,,,gp_mid,17.95,-33,701
21707,col,,18.6833,-34.083302,Swartklip,,"ETE Locality 525, Swartklip, ",0,Holocene,,0.0117,0,4809,ZA,,,,4,,,gp_mid,18.68,-34.08,701
21708,col,,17.950001,-33,Lime Quarry-Saldanha,,"ETE Locality 526, Lime Quarry, Saldanha, ",1,Holocene,,0.0117,0,4809,ZA,,,,4,,,gp_mid,17.95,-33,701
21710,col,,18.1833,-33.283298,Bloembos,,"ETE Locality 528, Bloembos, ",0,Holocene,,0.0117,0,4809,ZA,,,,4,,,gp_mid,18.18,-33.28,701
21858,col,,24.633301,-27.616699,Blue Pool Cave,,"ETE Locality 677, Blue Pool Cave, ",6,Holocene,,0.0117,0,5213,ZA,Orange Free,,,4,,in Kaap Escarpment above Blue Pool,gp_mid,24.63,-27.62,701
21860,col,,24.633301,-27.616699,Ochre Cave,,"ETE Locality 679, Ochre Cave, ",7,Holocene,,0.0117,0,5213,ZA,Orange Free,,,4,,53800 feet south of Powerhouse Cave; in Kaap Escarpment,gp_mid,24.63,-27.62,701
21861,col,,25.549999,-28.6667,OFD 1,,"ETE Locality 680, OFD 1, ",9,Holocene,,0.0117,0,5214,ZA,Orange Free,,,4,outcrop,latitude and longitude determined by map; Settlement unit on North bank on Riet River,gp_mid,25.55,-28.67,701
21862,col,,18.866699,-34.150002,Gordon's Bay Shell Midden,,"ETE Locality 681, Gordon's Bay Shell Midden, ",24,Holocene,,0.0117,0,5216,ZA,,,,4,outcrop,South Western Cape ; on Gordon's Bay,gp_mid,18.87,-34.15,701
21866,col,,25.9167,-30.4167,Glen Elliott Shelter,,"ETE Locality 685, Glen Elliott Shelter, ",18,Holocene,,0.0117,0,5218,ZA,,,,4,,latitude and longitude determined by map,gp_mid,25.92,-30.42,701
21871,col,,36.25,15.25,Atbara River Valley KG68,,"ETE Locality 690, Atbara River Valley KG68, ",32,Holocene,,0.0117,0,5220,SD,,,,4,basin,latitude and longitude determined by map; 8 km North of dam above Khastim el Girba,gp_mid,36.25,15.25,715
21878,col,,29.0833,25.799999,Dakhleh Oasis,,"ETE Locality 697, Dakhleh Oasis, ",6,Holocene,,0.0117,0,5222,EG,,,,4,,in Egyptian Sahara,gp_mid,29.08,25.8,715
21879,col,,30.637501,22.9167,El Beid E 77-7,,"ETE Locality 698, El Beid E 77-7, ",3,Holocene,,0.0117,0,5221,EG,,,,4,,latitude and longitude determined from map,gp_mid,30.64,22.92,715
21880,col,Nubia,30.637501,22.875,El Kortein E 77-3,,"ETE Locality 699, El Kortein E 77-3, ",4,Holocene,,0.0117,0,5221,EG,,,,4,outcrop,latitude and longitude determined by map,gp_mid,30.64,22.88,715
21881,col,Nubia,30.637501,22.875,El Kortein E 77-5,,"ETE Locality 700, El Kortein E 77-5, ",5,Holocene,,0.0117,0,5221,EG,,,,4,,latitude and longitude determined by map,gp_mid,30.64,22.88,715
21882,col,Nubia,30.7472,22.5,El Nabta E 75-6,,"ETE Locality 701, El Nabta E 75-6, ",11,Holocene,,0.0117,0,5221,EG,,,,4,outcrop,on Nabta Playa approx. 100 km west of Abu Simbel,gp_mid,30.75,22.5,715
21894,col,,31.9333,-14.4022,Makwe Rock Shelter,,"ETE Locality 713, Makwe Rock Shelter, ",54,Holocene,,0.0117,0,5210,ZM,,,,4,outcrop,"in Katete District, in Little Makwe Kopje; includes domestic animals",gp_mid,31.93,-14.4,701
21895,col,,32.466702,-13.8167,Thandwe Rock Shelter,,"ETE Locality 714, Thandwe Rock Shelter, ",25,Holocene,,0.0117,0,5210,ZM,,,,4,outcrop,in Chief Nzomane's area of the Chipata District,gp_mid,32.47,-13.82,701
21896,col,,23.0333,-28.205601,Doornfontein 1,,"ETE Locality 715, Doornfontein 1, ",35,Holocene,,0.0117,0,5227,ZA,,,,4,outcrop,in the Postmasburg District of the Northern Cape,gp_mid,23.03,-28.21,701
21897,col,,23.7167,-28.799999,Burchell's Shelter,,"ETE Locality 716, Burchell's Shelter, ",15,Holocene,,0.0117,0,5214,ZA,Orange Free,,,4,small collection,in a kloof in the Kaap Escarpment at Campbell in the Northern Cape,gp_mid,23.72,-28.8,701
21902,col,Nubia,33.75,16.25,Shaqdud S1-A,,"ETE Locality 721, Shaqdud S1-A, ",33,Holocene,,0.0117,0,5230,SD,,,,4,local area,Shaqadud Cave,gp_mid,33.75,16.25,715
21903,col,Nubia,33.75,16.25,Shaqadud S1-B,,"ETE Locality 722, Shaqadud S1-B, ",43,Holocene,,0.0117,0,5230,SD,,,,4,basin,in Shaqadud Valley,gp_mid,33.75,16.25,715
21904,col,Nubia,33.75,16.25,Shaqadud S21,,"ETE Locality 723, Shaqadud S21, ",22,Holocene,,0.0117,0,5230,SD,,,,4,basin,on plateau into which the Shaqadud Valley is cut,gp_mid,33.75,16.25,715
21907,col,Nubia,25.5,23,Wadi Bakht,,"ETE Locality 726, Wadi Bakht, ",13,Holocene,,0.0117,0,5221,EG,,,,4,outcrop,in Gilf el Kebir; latitude and longitude determined by map,gp_mid,25.5,23,715
21908,col,,24.3333,-27.6667,Limerock 1,,"ETE Locality 727, Limerock 1, ",12,Holocene,,0.0117,0,5214,ZA,Orange Free,,,4,,latutide and longitude determined by map,gp_mid,24.33,-27.67,701
21909,col,,24.3333,-27.6667,Limerock 2,,"ETE Locality 728, Limerock 2, ",14,Holocene,,0.0117,0,5214,ZA,Orange Free,,,4,,latitude and longitude determined by map,gp_mid,24.33,-27.67,701
21910,col,,24.866699,-26.616699,Little Witkrans,,"ETE Locality 729, Little Witkrans, ",2,Holocene,,0.0117,0,5213,ZA,Orange Free,,,4,,latitude and longitude determined by map,gp_mid,24.87,-26.62,701
21911,col,,24.633301,-27.616699,Powerhouse Cave,,"ETE Locality 730, Powerhouse Cave, ",22,Holocene,,0.0117,0,5213,ZA,Orange Free,,,4,,latitude and longitude determined by map; in Kaap Escarpment,gp_mid,24.63,-27.62,701
21912,col,,25.866699,-30.233299,Riversmead Shelter,,"ETE Locality 731, Riversmead Shelter, ",22,Holocene,,0.0117,0,5214,ZA,Orange Free,,,4,,latitude and longitude determined by map,gp_mid,25.87,-30.23,701
21914,col,,24.633301,-27.616699,Witkrans Cave-Upper,,"ETE Locality 733, Witkrans Cave-Upper, ",9,Holocene,,0.0117,0,5213,ZA,,,,4,,on Kaap Escarpment,gp_mid,24.63,-27.62,701
21917,col,,24.4,-34.099998,Klasies River Mouth Cave 5,,"ETE Locality 736, Klasies River Mouth Cave 5, ",17,Holocene,,0.0117,0,5234,ZA,,,,4,,2km from main Klasies site; on Southern coast of Cape Province; 3km east of Klasies River Mouth,gp_mid,24.4,-34.1,701
21918,col,,24.4,-34.099998,Klasies River Mouth Cave 1 LSA,,"ETE Locality 737, Klasies River Mouth Cave 1 LSA, ",18,Holocene,,0.0117,0,5234,ZA,,,,4,,Upper Layer of main Klasies site; on Southern coast of Cape Province; 3km East of Klasies River Mouth,gp_mid,24.4,-34.1,701
21919,col,,24.4,-34.099998,Klasies River Mouth Cave 1D,,"ETE Locality 738, Klasies River Mouth Cave 1D, ",3,Holocene,,0.0117,0,5234,ZA,,,,4,,97200 m from main Klasies site; on Southern Coast of Cape Province; 3km East of Klasies River Mouth,gp_mid,24.4,-34.1,701
21921,col,,18.8333,-33.383301,Kasteelberg Midden A,,"ETE Locality 740, Kasteelberg Midden A, ",17,Holocene,,0.0117,0,5218,ZA,,,,4,,on Vredenburg Peninsula in the Western Cape of South Africa; domestic animals,gp_mid,18.83,-33.38,701
21927,col,,31.0833,-26.75,Onink,,"ETE Locality 746, Onink, ",22,Holocene,,0.0117,0,5237,SZ,,,,4,,,gp_mid,31.08,-26.75,701
21930,col,,25.7167,-33.733299,Scott's Cave,,"ETE Locality 749, Scott's Cave, ",24,Holocene,,0.0117,0,5240,ZA,,,,4,outcrop,"on farm Scothurst in the Gamtoos Valley, 10 km North of Patensie",gp_mid,25.72,-33.73,701
21932,col,,36.200001,-0.7667,Ndabibi,,"ETE Locality 751, Ndabibi, ",13,Holocene,,0.0117,0,5242,KE,,,,4,,GtJi3; West of Lake Naivasha between the Lake and the Mau Escarpment; latitude and longitude determined by map; domestic animals,gp_mid,36.2,-0.77,712
21933,col,,36.416698,-0.7167,Naivasha Railway Shelter,,"ETE Locality 752, Naivasha Railway Shelter, ",24,Holocene,,0.0117,0,5243,KE,,,,4,,GtJk21; at base of slope of eastern side of Rift; less than 10km East of Lake Naivasha; latitude and longitude determined by map,gp_mid,36.42,-0.72,709
21934,col,,36.383301,-0.75,Causeway Site,,"ETE Locality 753, Causeway Site, ",9,Holocene,,0.0117,0,5243,KE,,,,4,outcrop,on Crescent Island; GtHh3; only short distance from Crescent Island Main Site; latitude and longitude determined from map,gp_mid,36.38,-0.75,709
21935,col,,38.845798,-1.5431,Narosura,,"ETE Locality 754, Narosura, ",16,Holocene,,0.0117,0,5242,KE,,,,4,outcrop,on Narosura River in Narok region on the West side of Mau Escarpment; at foot of Loita Hills; 22 m2 excavated,gp_mid,38.85,-1.54,709
21936,col,,36.099998,-0.4167,Prolonged Drift,,"ETE Locality 755, Prolonged Drift, ",17,Holocene,,0.0117,0,5242,KE,,,,4,outcrop,Long's Drift; GrJi1; on Nderit River Floodplain SW of Lake Nakuru; latitude and longitude determined by map,gp_mid,36.1,-0.42,712
21937,col,,36.25,-1,Akira,,"ETE Locality 756, Akira, ",16,Holocene,,0.0117,0,5243,KE,,,,4,,GuJj2; on NW slope of Mount Suswa; longitude and latitude determined by map,gp_mid,36.25,-1,712
21938,col,,36.383301,-0.75,Crescent Island Main Site,,"ETE Locality 757, Crescent Island Main Site, ",19,Holocene,,0.0117,0,5242,KE,,,,4,outcrop,on Southeast side of Lake Naivasha; latitude and longitude determined from map,gp_mid,36.38,-0.75,709
21939,col,,36.333302,-1.2167,Salasun,,"ETE Locality 758, Salasun, ",10,Holocene,,0.0117,0,5242,KE,,,,4,,within Mount Suswa caldena on the Northern side; latitude and longitude determined by map,gp_mid,36.33,-1.22,709
21940,col,,25.5,-30.6667,Blydefontein Shelter,,"ETE Locality 759, Blydefontein Shelter, ",17,Holocene,,0.0117,0,5214,ZA,,,,4,,latitude and longitude determined by map,gp_mid,25.5,-30.67,701
21941,col,,25.1667,-28.366699,Khartoum 1,,"ETE Locality 760, Khartoum 1, ",3,Holocene,,0.0117,0,5214,ZA,Orange Free,,,4,,latitude and longitude determined by map,gp_mid,25.17,-28.37,701
21942,col,,25.116699,-29.4167,Lemoenfontein,,"ETE Locality 761, Lemoenfontein, ",4,Holocene,,0.0117,0,5214,ZA,Orange Free,,,4,,latitude and longitude determined by map,gp_mid,25.12,-29.42,701
21943,col,,27.4167,-29.6667,Tienfontein 2,,"ETE Locality 762, Tienfontein 2, ",17,Holocene,,0.0117,0,5214,ZA,Orange Free,,,4,,latitude and longitude determined by map,gp_mid,27.42,-29.67,701
21944,col,,27.4167,-29.6667,Tienfontein 4A,,"ETE Locality 763, Tienfontein 4A, ",13,Holocene,,0.0117,0,5214,ZA,Orange Free,,,4,,latitude and longitude determined by map,gp_mid,27.42,-29.67,701
21945,col,,27.4167,-29.6667,Tienfontein 7,,"ETE Locality 764, Tienfontein 7, ",3,Holocene,,0.0117,0,5214,ZA,Orange Free,,,4,,latitude and longitude determined by map,gp_mid,27.42,-29.67,701
21946,col,,27.633301,-29.0833,Ventershoek,,"ETE Locality 765, Ventershoek, ",20,Holocene,,0.0117,0,5214,ZA,,,,4,,latitude and longitude determined by map,gp_mid,27.63,-29.08,701
21947,col,,25.85,-30.200001,Zaayfontein,,"ETE Locality 766, Zaayfontein, ",8,Holocene,,0.0117,0,5214,ZA,Orange Free,,,4,,latitude and longitude determined by map,gp_mid,25.85,-30.2,701
21955,col,,31.0833,-26.75,Emambeni,,"ETE Locality 774, Emambeni, ",23,Holocene,,0.0117,0,5237,SZ,,,,4,,,gp_mid,31.08,-26.75,701
21958,col,,33.75,16.25,Shaqadud S1-A,,"ETE Locality 777, Shaqadud S1-A, ",33,Holocene,,0.0117,0,5230,SD,,,,4,local area,Shaqadud Cave,gp_mid,33.75,16.25,715
21959,col,,36.25,-1.25,Enkapune Ya Muto Rockshelter,,"ETE Locality 778, Enkapune Ya Muto Rockshelter, ",15,Holocene,,0.0117,0,5259,KE,,,,4,,on Eastern Face of Mau Escarpment; domesticates; latitude and longitude determined from map; near Lake Naivasha,gp_mid,36.25,-1.25,712
22067,col,,29.6,-0.135,Ishango - N. Tuf.,,"ETE Locality 888, Niveaux tufaces, Ishango - N. Tuf., ",34,Holocene,,0.0117,0,5318,CD,,,estimated from map,3,outcrop,Shore of L. Rutanzige,gp_mid,29.6,-0.14,701
22068,col,,29.6,-0.135,Ishango - Z. Post-Em.,,"ETE Locality 889, Zone post-emersion, Ishango - Z. Post-Em., ",48,Holocene,,0.0117,0,5318,CD,,,,3,,Shore of L. Rutanzige,gp_mid,29.6,-0.14,701
22073,col,,29.823099,1.2314,Matupi Cave - Unit Matupi I,,"ETE Locality 894, Matupi Cave - Unit Matupi I, ",77,Holocene,,0.0117,0,5324,CD,,,,4,,"""Mt. Hoyo, 40 km SW of Irumu.""",gp_mid,29.82,1.23,701
22083,col,,29.549999,0.0167,Chibiridi - Katwe Ash,,"ETE Locality 904, Tshibiridi, Tchibiridi, Chibiridi - Katwe Ash, ",4,Holocene,,0.0117,0,5329,CD,,,,4,,Includes Ch2 & Ch5.,gp_mid,29.55,0.02,701
22086,col,,29.6,0.1333,Ishango - Katwe Ash,,"ETE Locality 907, Ishango - Katwe Ash, ",2,Holocene,,0.0117,0,5321,CD,,,,4,,"""Includes Is4, Is1.""",gp_mid,29.6,0.13,701
22093,col,,29.549999,0.1333,Kanyatsi 5 - Katwe Ash,,"ETE Locality 914, Kanyatsi 5 - Katwe Ash, ",3,Holocene,,0.0117,0,5332,CD,,,,4,,,gp_mid,29.55,0.13,701
22095,col,,29.5833,0.1,Katanda - Katwe Ash,,"ETE Locality 916, Katanda - Katwe Ash, ",1,Holocene,,0.0117,0,5329,CD,,,,4,,"""Includes Kt2, Kt3.""",gp_mid,29.58,0.1,701
22113,col,,29.5833,0.1333,Kyanyumu - Katwe Ash,,"ETE Locality 934, Kyanyumu - Katwe Ash, ",8,Holocene,,0.0117,0,5329,CD,,,,4,,NW of Ishango,gp_mid,29.58,0.13,701
22118,col,,29.5833,0.15,Mengin 1 - Katwe Ash,,"ETE Locality 939, Mengin 1 - Katwe Ash, ",3,Holocene,,0.0117,0,5329,CD,,,,4,,,gp_mid,29.58,0.15,701
22126,col,,29.549999,0,Upper Semliki - Katwe Ash,,"ETE Locality 947, Upper Semliki - Katwe Ash, ",3,Holocene,,0.0117,0,5329,CD,,,,4,,Lat/long assigned from center of Upper Semliki localities.,gp_mid,29.55,0,701
22309,col,,36,0.5,Ngenyn - Occurence 1,,"ETE Locality 1133, Ngenyn, Baringo, Ngenyn - Occurence 1, ",2,Holocene,,0.0117,0,5586,KE,,,,4,outcrop,Ndau and Sekutionnen Rivers,gp_mid,36,0.5,712
22310,col,,36,0.5,Ngenyn - Occurence 2,,"ETE Locality 1134, Ngenyn, Baringo, Ngenyn - Occurence 2, ",14,Holocene,,0.0117,0,5586,KE,,,,4,small collection,Ndau and Sekutionnen Rivers,gp_mid,36,0.5,712
22500,col,Karterit Cliff,36.150002,-0.5,Karterit-8V/8,,"ETE Locality 1333, Karterit-8V/8, ",6,Holocene,,0.0117,0,5628,KE,Nak-Elment.Basin,Elmenteita Badlands,,4,,Shoreline cliffs S of Lk Elmenteita,gp_mid,36.15,-0.5,712
22501,col,,36.150002,-0.4,Nakuru-Elmenteita Basin,,"ETE Locality 1334, Nakuru-Elmenteita Basin, ",3,Holocene,,0.0117,0,5629,KE,Nak-Elment.Basin,,,4,,lake near summit of Central Kenya Dome,gp_mid,36.15,-0.4,712
22502,col,,36.150002,-0.4167,Lake Elmenteita - Range II,,"ETE Locality 1335, Lake Elmenteita - Range II, ",7,Holocene,,0.0117,0,5630,KE,Nak-Elment.Basin,Eastern Rift Valley,,4,,lake near summit of Central Kenya Dome,gp_mid,36.15,-0.42,712
22504,col,,36.150002,-0.4167,Lake Elmenteita - Range IV,,"ETE Locality 1337, Lake Elmenteita - Range IV, ",2,Holocene,,0.0117,0,5630,KE,Nak-Elment.Basin,Eastern Rift Valley,,4,,lake near summit of Central Kenya Dome,gp_mid,36.15,-0.42,712
23115,col,,167.433334,-22.666668,"Kanumera, New Caledonia",,"Kanumera, Ille des Pins",7,Holocene,,0.0117,0,4393,NC,,,estimated from map,minutes,,"Kanumera Bay is on the south west side of Ille des Pines, exact locality ""Kanumera"" is not stated in the text.",gp_mid,167.43,-22.67,834
27077,col,,178.486496,-18.0602,"Wainibuku Cave, Viti Levu",,,6,Holocene,,0.0117,0,66168,FJ,,,stated in text,4,small collection,"Exact latitude and longitude from the text are: S 18 degrees, 13 minutes, 36.7 seconds, E 178 degrees, 29 minutes, 11.4 seconds. ""A few kilometers from Suva, Wainibuku Cave lies in the headwaters of Wainibuku Stream in the Wainibuku Valley (Worthy and Anderson, 1999).""",gp_mid,,,coordinates not computable using this model
32107,col,,37.049999,-1.466667,Lukenya Hill GvJm 62 70-0cm,,Lukenya Hill,4,Holocene,,0.0117,0,8626,KE,Athi-Kapiti Plains,,estimated from map,seconds,,"Gneissic inselberg ~40km SE of Nairobi, 8km long by 2km maximum width, 200m above Athi-Kapiti plains.",gp_mid,37.05,-1.47,709
32904,col,,105.988052,20.133333,Man Bac,,,13,Holocene,,0.0117,0,39115,VN,,,stated in text,seconds,small collection,,gp_mid,105.99,20.13,615
34023,col,,121.148888,30.049999,Yin Cun of Yuyao,,,1,Holocene,,0.0117,0,8955,CN,Zhejiang,Yuyao,based on nearby landmark,seconds,,To the south of the Hangzhou Wan (i.e. the estuary of the Qiantang River in northeastern Zhejiang (Chekiang) Province).,gp_mid,121.15,30.05,611
34024,col,,121.412781,29.657778,Jiangkou Cun of Fenghua,,,1,Holocene,,0.0117,0,8955,CN,Zhejiang,Fenghua,based on nearby landmark,seconds,,To the south of the Hangzhou Wan (i.e. the estuary of the Qiantang River in northeastern Zhejiang (Chekiang) Province).,gp_mid,121.41,29.66,611
34025,col,,121.412781,29.657778,Yingchiashan Cun of Fenghua,,,1,Holocene,,0.0117,0,8955,CN,Zhejiang,Fenghua,based on nearby landmark,seconds,,To the south of the Hangzhou Wan (i.e. the estuary of the Qiantang River in northeastern Zhejiang (Chekiang) Province).,gp_mid,121.41,29.66,611
35033,col,,114.25,22.25,Big Wave Bay (Hong Kong) Holocene fauna,,Big Wave Bay rocky shore fauna,1,Holocene,,0.0117,0,9412,HK,,Big Wave Bay,based on nearby landmark,seconds,outcrop,"SPECIFIC LOCATION: ""Big Wave Bay"" is located on the southeasterb side of Hong Kong Island. The emergent fossil oyster bed ins preserved in a low lying cliff section on the southern side of the beach."" LAT/LONG: estimated based on Big Wave Bay, Hong Kong.",gp_mid,114.25,22.25,611
35074,col,,13.65,54.966667,"Core 202170 (Unit F - lower), Arkona Basin, Baltic Sea",,"Core 202170 (44-188cm), Baltic Sea",16,Holocene,,0.0117,0,9435,SE,,,stated in text,seconds,small collection,"Core 202170, Arkona Basin, western Baltic Sea\r\nJA: longitude direction originally entered as west",gp_mid,13.65,54.97,302
35075,col,,13.65,54.966667,"Core 202170 (Unit F - upper), Arkona Basin, Baltic Sea",,"Core 202170 (<44cm), Baltic Sea",7,Holocene,,0.0117,0,9435,DK,,,stated in text,seconds,small collection,"Core 202170, Arkona Basin, western Baltic Sea\r\nJA: longitude direction originally entered as west",gp_mid,13.65,54.97,302
38973,col,,49.290001,-12.3,"Madagascar copal, Antseranana region (GPIH collection)",,,3,Holocene,,0.0117,0,50937,MG,,,based on nearby landmark,1,outcrop,,gp_mid,49.29,-12.3,702
40229,col,,111.566666,22.766666,"Xiashan Cave, upper part, Luoding",,,2,Holocene,,0.0117,0,10880,CN,Guangdong,Luoding,based on nearby landmark,minutes,small collection,,gp_mid,111.57,22.77,611
41935,col,New Orleans Barrier Trend,-89.955002,30.053888,Lake Carmel Pit (Barrier Bar) - Miller III (1983),,"Barrier Bar, Lake Carmel Pit",139,Holocene,,0.0117,0,11203,US,Louisiana,Orleans,based on nearby landmark,seconds,local area,"Lake Carmel Pit, located in an area of reclaimed wetland between Lake Carmel housing development on the east and Jahncke Canal to the west, 0.5 km northeast of the junction of Bullard Avenue and US Interstate Highway 10 on the outskirts of New Orleans, Little Woods quadrangle, Orleans County, Louisiana. Lat/long estimate based on locality of Lake Carmel.",gp_mid,-89.96,30.05,101
